Train %,Macro-F1,Micro-F1
10,0.00028907582458878963,0.0007661074082586379
20,0.0009843717800173872,0.002415250582247908
30,0.0024666995197753774,0.005719357065378168
40,0.0028551413571240437,0.006199770378874856
50,0.0033622247636475523,0.006617951192609954
60,0.003989686543547002,0.007580978635423846
70,0.004416104699526519,0.007866728366496992
80,0.0057874038436698284,0.010398613518197574
90,0.0073210672111771015,0.011259676284306826
