Train %,DeepWalk (Micro-F1),node2vec (Micro-F1),DeepWalk (Macro-F1),node2vec (Macro-F1)
10,0.0006129328838492185,0.0007661074082586379,0.0002315216762169358,0.00028907582458878963
20,0.0018981880931837791,0.002415250582247908,0.0007500753595615899,0.0009843717800173872
30,0.001779183552436493,0.005719357065378168,0.0007649140982474316,0.0024666995197753774
40,0.0029916005062708547,0.006199770378874856,0.0015570088297950692,0.0028551413571240437
50,0.003592152528322741,0.006617951192609954,0.001960042840106826,0.0033622247636475523
60,0.00414722654224987,0.007580978635423846,0.002255208938482171,0.003989686543547002
70,0.007410838351088467,0.007866728366496992,0.003977058891727359,0.004416104699526519
80,0.010402219140083218,0.010398613518197574,0.005215527961739077,0.0057874038436698284
90,0.012640449438202247,0.011259676284306826,0.00692351891446914,0.0073210672111771015
